iter	Passed	Remaining
373	4736	7927
374	4748	7913
375	4759	7898
376	4770	7883
377	4782	7869
378	4793	7854
379	4805	7840
380	4817	7826
381	4829	7813
382	4841	7798
383	4852	7784
384	4865	7772
385	4879	7761
386	4891	7747
387	4903	7733
388	4914	7719
389	4926	7704
390	4938	7691
391	4949	7677
392	4962	7664
393	4973	7649
394	4988	7640
395	5000	7627
396	5012	7613
397	5024	7599
398	5035	7584
399	5047	7570
400	5058	7556
401	5071	7543
402	5083	7530
403	5095	7517
404	5106	7502
405	5117	7487
406	5130	7474
407	5142	7461
408	5154	7448
409	5165	7433
410	5176	7418
411	5188	7404
412	5199	7389
413	5211	7376
414	5222	7361
415	5233	7347
416	5244	7332
417	5256	7318
418	5267	7304
419	5278	7289
420	5290	7276
421	5302	7263
422	5314	7248
423	5325	7235
424	5336	7220
425	5348	7206
426	5361	7194
427	5373	7180
428	5385	7167
429	5396	7153
430	5408	7140
431	5419	7125
432	5432	7113
433	5444	7100
434	5455	7086
435	5466	7071
436	5478	7058
437	5489	7043
438	5501	7030
439	5513	7017
440	5524	7003
441	5535	6988
442	5548	6976
443	5560	6963
444	5573	6951
445	5585	6937
446	5596	6923
447	5608	6909
448	5619	6896
449	5631	6882
450	5643	6869
451	5654	6855
452	5665	6841
453	5677	6828
454	5689	6814
455	5701	6801
456	5712	6787
457	5723	6773
458	5735	6760
459	5746	6746
460	5758	6732
461	5770	6719
462	5781	6705
463	5793	6692
464	5807	6681
465	5821	6670
466	5835	6659
467	5848	6648
468	5871	6647
469	5884	6635
470	5898	6625
471	5913	6615
472	5929	6606
473	5942	6594
474	5954	6581
475	5966	6568
476	5984	6561
477	5996	6548
478	6008	6535
479	6019	6521
480	6031	6508
481	6043	6494
482	6055	6481
483	6068	6470
484	6080	6456
485	6092	6443
486	6104	6430
487	6117	6417
488	6129	6404
489	6140	6391
490	6153	6379
491	6165	6365
492	6176	6351
493	6188	6339
494	6201	6326
495	6212	6313
496	6224	6299
497	6236	6286
498	6247	6273
499	6258	6258
500	6270	6245
501	6281	6231
502	6293	6218
503	6306	6206
504	6317	6192
505	6329	6179
506	6340	6165
507	6352	6152
508	6364	6139
509	6376	6126
510	6387	6112
511	6399	6099
512	6410	6086
513	6423	6073
514	6434	6059
515	6446	6046
516	6458	6033
517	6470	6021
518	6481	6007
519	6493	5993
520	6505	5981
521	6517	5968
522	6529	5955
523	6541	5942
524	6553	5929
525	6565	5916
526	6583	5908
527	6597	5897
528	6611	5886
529	6625	5875
530	6639	5864
531	6653	5852
532	6667	5841
533	6681	5830
534	6696	5820
535	6710	5809
536	6722	5796
537	6734	5783
538	6746	5770
539	6758	5757
540	6770	5744
541	6783	5732
542	6795	5719
543	6807	5705
544	6819	5693
545	6830	5679
546	6842	5666
547	6854	5653
548	6865	5640
549	6878	5627
550	6889	5614
551	6901	5601
552	6913	5588
553	6926	5576
554	6938	5563
555	6950	5550
556	6966	5541
557	6979	5528
558	6992	5516
559	7005	5504
560	7016	5490
561	7028	5477
562	7039	5463
563	7051	5451
564	7064	5439
565	7076	5425
566	7087	5412
567	7099	5399
568	7111	5387
569	7124	5374
570	7137	5362
571	7149	5349
572	7161	5336
573	7174	5324
574	7186	5311
575	7198	5298
576	7209	5285
577	7222	5272
578	7234	5260
579	7245	5246
580	7256	5233
581	7268	5220
582	7280	5207
583	7292	5194
584	7304	5181
585	7316	5168
586	7333	5159
587	7345	5147
588	7358	5134
589	7370	5121
590	7382	5108
591	7395	5096
592	7407	5084
593	7419	5071
594	7431	5058
595	7444	5046
596	7455	5032
597	7467	5019
598	7479	5006
599	7491	4994
600	7503	4981
601	7515	4968
602	7527	4955
603	7540	4943
604	7552	4931
605	7565	4918
606	7577	4906
607	7589	4893
608	7601	4880
609	7613	4867
610	7625	4854
611	7637	4842
612	7649	4829
613	7660	4815
614	7672	4803
615	7684	4790
616	7696	4777
617	7708	4764
618	7719	4751
619	7731	4738
620	7743	4726
621	7755	4713
622	7767	4700
623	7779	4687
624	7791	4674
625	7802	4661
626	7815	4649
627	7827	4636
628	7838	4623
629	7850	4610
630	7862	4597
631	7874	4585
632	7886	4572
633	7898	4559
634	7910	4547
635	7924	4535
636	7937	4523
637	7956	4514
638	7971	4503
639	7987	4492
640	8002	4481
641	8017	4470
642	8030	4458
643	8046	4447
644	8059	4435
645	8071	4423
646	8083	4410
647	8095	4397
648	8106	4384
649	8118	4371
650	8129	4358
651	8140	4345
652	8152	4332
653	8165	4320
654	8178	4307
655	8190	4295
656	8202	4282
657	8213	4268
658	8224	4255
659	8236	4242
660	8248	4230
661	8259	4217
662	8271	4204
663	8283	4191
664	8295	4178
665	8306	4165
666	8319	4153
667	8330	4140
668	8342	4127
669	8354	4114
670	8366	4102
671	8378	4089
672	8390	4076
673	8402	4063
674	8414	4051
675	8425	4038
676	8438	4025
677	8449	4013
678	8461	4000
679	8473	3987
680	8485	3974
681	8497	3962
682	8513	3951
683	8525	3938
684	8536	3925
685	8548	3912
686	8559	3899
687	8572	3887
688	8584	3874
689	8596	3862
690	8607	3849
691	8619	3836
692	8630	3823
693	8642	3810
694	8654	3797
695	8668	3786
696	8681	3774
697	8695	3762
698	8710	3750
699	8724	3739
700	8738	3727
701	8754	3716
702	8767	3704
703	8779	3691
704	8791	3678
705	8803	3665
706	8815	3653
707	8827	3640
708	8840	3628
709	8852	3615
710	8864	3603
711	8876	3590
712	8887	3577
713	8899	3564
714	8911	3552
715	8924	3539
716	8937	3527
717	8950	3515
718	8962	3502
719	8973	3489
720	8985	3476
721	8997	3464
722	9008	3451
723	9020	3438
724	9032	3426
725	9044	3413
726	9056	3400
727	9068	3388
728	9079	3375
729	9091	3362
730	9103	3349
731	9115	3337
732	9127	3324
733	9139	3312
734	9150	3299
735	9162	3286
736	9173	3273
737	9185	3261
738	9198	3248
739	9209	3235
740	9222	3223
741	9234	3210
742	9247	3198
743	9259	3186
744	9270	3173
745	9282	3160
746	9294	3147
747	9305	3135
748	9317	3122
749	9331	3110
750	9342	3097
751	9354	3084
752	9366	3072
753	9377	3059
754	9389	3047
755	9401	3034
756	9413	3021
757	9425	3009
758	9437	2996
759	9449	2983
760	9461	2971
761	9473	2958
762	9484	2946
763	9496	2933
764	9507	2920
765	9519	2908
766	9531	2895
767	9543	2882
768	9555	2870
769	9567	2857
770	9579	2845
771	9592	2833
772	9604	2820
773	9615	2807
774	9627	2795
775	9638	2782
776	9651	2769
777	9663	2757
778	9675	2744
779	9686	2732
780	9699	2719
781	9711	2707
782	9722	2694
783	9733	2681
784	9745	2669
785	9756	2656
786	9768	2643
787	9779	2631
788	9792	2618
789	9805	2606
790	9817	2593
791	9829	2581
792	9841	2569
793	9853	2556
794	9866	2544
795	9878	2531
796	9889	2518
797	9900	2506
798	9911	2493
799	9927	2481
800	9938	2469
801	9950	2456
802	9961	2443
803	9974	2431
804	9985	2418
805	9998	2406
806	10010	2393
807	10021	2381
808	10034	2369
809	10049	2357
810	10060	2344
811	10076	2332
812	10093	2321
813	10106	2309
814	10120	2297
815	10135	2285
816	10150	2273
817	10171	2263
818	10184	2250
819	10195	2238
820	10208	2225
821	10220	2213
822	10232	2200
823	10244	2188
824	10256	2175
825	10267	2162
826	10279	2150
827	10291	2137
828	10303	2125
829	10314	2112
830	10326	2100
831	10337	2087
832	10349	2074
833	10361	2062
834	10373	2049
835	10385	2037
836	10396	2024
837	10409	2012
838	10421	1999
839	10434	1987
840	10446	1975
841	10459	1962
842	10471	1950
843	10482	1937
844	10494	1925
845	10506	1912
846	10517	1899
847	10529	1887
848	10540	1874
849	10551	1862
850	10563	1849
851	10575	1837
852	10586	1824
853	10598	1811
854	10610	1799
855	10622	1786
856	10634	1774
857	10645	1761
858	10657	1749
859	10668	1736
860	10680	1724
861	10692	1711
862	10704	1699
863	10715	1686
864	10730	1674
865	10748	1663
866	10763	1651
867	10779	1639
868	10795	1627
869	10810	1615
870	10827	1603
871	10839	1591
872	10851	1578
873	10863	1566
874	10875	1553
875	10887	1541
876	10898	1528
877	10914	1516
878	10926	1504
879	10938	1491
880	10950	1479
881	10961	1466
882	10973	1453
883	10984	1441
884	10996	1428
885	11007	1416
886	11020	1403
887	11031	1391
888	11043	1378
889	11054	1366
890	11067	1353
891	11079	1341
892	11090	1328
893	11102	1316
894	11114	1303
895	11126	1291
896	11138	1278
897	11150	1266
898	11161	1253
899	11173	1241
900	11185	1229
901	11196	1216
902	11207	1203
903	11219	1191
904	11231	1179
905	11243	1166
906	11255	1154
907	11266	1141
908	11278	1129
909	11290	1116
910	11301	1104
911	11313	1091
912	11325	1079
913	11337	1066
914	11349	1054
915	11361	1041
916	11373	1029
917	11384	1016
918	11396	1004
919	11407	991
920	11419	979
921	11431	967
922	11443	954
923	11455	942
924	11467	929
925	11479	917
926	11491	904
927	11503	892
928	11515	880
929	11527	867
930	11538	855
931	11550	842
932	11562	830
933	11573	817
934	11585	805
935	11597	792
936	11609	780
937	11621	768
938	11633	755
939	11644	743
940	11656	730
941	11668	718
942	11680	706
943	11691	693
944	11703	681
945	11714	668
946	11726	656
947	11737	643
948	11749	631
949	11761	619
950	11773	606
951	11784	594
952	11796	581
953	11807	569
954	11819	556
955	11831	544
956	11843	532
957	11854	519
958	11865	507
959	11877	494
960	11889	482
961	11908	470
962	11921	458
963	11935	445
964	11949	433
965	11960	420
966	11972	408
967	11984	396
968	11996	383
969	12007	371
970	12019	358
971	12032	346
972	12043	334
973	12055	321
974	12067	309
975	12079	297
976	12092	284
977	12104	272
978	12115	259
979	12127	247
980	12138	235
981	12152	222
982	12166	210
983	12179	198
984	12193	185
985	12207	173
986	12222	160
987	12236	148
988	12250	136
989	12264	123
990	12278	111
991	12290	99
992	12303	86
993	12315	74
994	12326	61
995	12338	49
996	12350	37
997	12362	24
998	12373	12
999	12385	0
