iter	MultiClass
0	2.301280121
1	2.217319313
2	2.130686543
3	2.061553922
4	2.006647717
5	1.961223108
6	1.923201772
7	1.884944266
8	1.857624535
9	1.837622942
10	1.812905224
11	1.789661796
12	1.763461258
13	1.744221459
14	1.731571765
15	1.715848577
16	1.701859596
17	1.687297379
18	1.673764418
19	1.660448896
20	1.652156488
21	1.644238728
22	1.637348078
23	1.627974345
24	1.618405827
25	1.608847743
26	1.602720575
27	1.595162637
28	1.588352913
29	1.581377795
30	1.576098278
31	1.567345352
32	1.561338971
33	1.557242059
34	1.551053675
35	1.548308844
36	1.540934493
37	1.534653734
38	1.531514825
39	1.528222301
40	1.522870279
41	1.516912179
42	1.512743062
43	1.508037966
44	1.504887212
45	1.500357624
46	1.496177792
47	1.490839614
48	1.487776044
49	1.482104329
50	1.477075031
51	1.473925013
52	1.470678784
53	1.465940533
54	1.46268955
55	1.459916752
56	1.457474625
57	1.453932342
58	1.449504563
59	1.44722491
60	1.442157818
61	1.439857603
62	1.435855129
63	1.43149857
64	1.4275668
65	1.424879002
66	1.421436754
67	1.417005509
68	1.414762514
69	1.412435758
70	1.408946551
71	1.405716155
72	1.401510913
73	1.39923598
74	1.396033407
75	1.393030834
76	1.390573938
77	1.386963033
78	1.384556372
79	1.381949085
80	1.378442811
81	1.375494039
82	1.37217969
83	1.368924418
84	1.366713764
85	1.363285613
86	1.360587696
87	1.356883757
88	1.353580132
89	1.349186634
90	1.345732218
91	1.343732286
92	1.3421171
93	1.338742035
94	1.335612549
95	1.333409889
96	1.331235765
97	1.328583595
98	1.32668655
99	1.324767502
100	1.322313871
101	1.318436974
102	1.31637052
103	1.313265503
104	1.310913461
105	1.307126382
106	1.30509193
107	1.301282079
108	1.29813073
109	1.297077982
110	1.294202277
111	1.292359504
112	1.290269882
113	1.288044243
114	1.284829452
115	1.282342233
116	1.279699241
117	1.277240869
118	1.274358114
119	1.27143387
120	1.270121792
121	1.267436157
122	1.264818953
123	1.26252882
124	1.259383445
125	1.256847819
126	1.253845813
127	1.251939503
128	1.249990432
129	1.247804237
130	1.246155751
131	1.24410455
132	1.24261232
133	1.239903932
134	1.238292484
135	1.2369622
136	1.234526276
137	1.232621337
138	1.230441288
139	1.228910148
140	1.226321654
141	1.224442855
142	1.222451218
143	1.220838028
144	1.218963564
145	1.217158947
146	1.214964512
147	1.212886731
148	1.211002355
149	1.208846276
150	1.205735301
151	1.202712987
152	1.200775186
153	1.19838746
154	1.195959893
155	1.193796235
156	1.192023421
157	1.189511048
158	1.187565124
159	1.185278742
160	1.18343676
161	1.181343288
162	1.179349428
163	1.177413396
164	1.175586837
165	1.173518283
166	1.171627204
167	1.169140749
168	1.166171387
169	1.164927902
170	1.163169507
171	1.160328856
172	1.158651102
173	1.156973044
174	1.154917262
175	1.152477444
176	1.150514147
177	1.147513518
178	1.145586649
179	1.143991335
180	1.141892388
181	1.140312006
182	1.138895645
183	1.13623399
184	1.134575499
185	1.133589559
186	1.131375741
187	1.130081026
188	1.128163786
189	1.126672829
190	1.125192726
191	1.123848166
192	1.121355424
193	1.118646619
194	1.117581765
195	1.1156649
196	1.11409231
197	1.112814261
