RESPNUM,CCGID,TERM,STRATA,ATYPE,AIRLINE,DEST,GATENUM,INTDATE,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3A,Q4A,Q4B,Q4C,Q5,Q5AVG,SAQ,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,Q6K,Q6L,Q6M,Q6N,Q7COM1,Q7COM2,Q7COM3,Q7A1,Q7A2,Q7A3,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8COM1,Q8COM2,Q8COM3,Q9,Q9APOS1,Q9APOS2,Q9APOS3,Q9ANEG1,Q9ANEG2,Q9ANEG3,Q9ANTR1,Q9ANTR2,Q9ANTR3,Q10,Q11,Q11A1,Q11A2,Q11A3,Q12,Q13A,Q13B,Q13_COM,Q13COM1,Q13COM2,Q13COM3,Q14,Q14A,Q14A1,Q14A2,Q14A3,Q15,SFFLAG,COUNTRY,Q17,AGE,Q18,Q19,INC,MAIL,LANG,DESTMARK,DESTINATION,DESTGEO,WEIGHT,Location 1
2351,2413,3,1,1,8,2,66,7,2,2,8,,,,,2,11,,,,,9,1,2,1,4,9.5,1,3,3,6,4,4,5,6,6,5,5,5,6,6,4,20,,,,,,4,6,5,6,4,4,,,,4,,,,,,,,,,2,,,,,1,4,5,,,,,2,,,,,1,10,62,5,49.5,2,4,175000,1,1,4,NEW YORK-JFK,2,1.592296,
2352,2414,3,1,1,8,2,66,7,2,2,8,,,,,2,11,,,,,9,1,1,2,1,1,2,6,4,4,4,4,4,4,6,3,6,6,6,6,4,40,,,,,,4,6,6,6,4,4,,,,4,,,,,,,,,,2,,,,,1,4,2,,,,,2,,,,,1,10,62,3,29.5,1,0,,1,1,4,NEW YORK-JFK,2,1.592296,
2353,2415,3,1,1,8,2,66,7,2,1,8,,,,,4,11,,,,,9,2,1,1,4,9.5,2,6,2,2,3,3,3,6,6,4,6,4,6,3,3,6,73,,,,,3,6,4,3,3,3,,,,4,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,62,3,29.5,1,3,125000,1,1,4,NEW YORK-JFK,2,1.592296,
2354,2416,3,1,1,8,2,66,7,2,2,8,,,,,6,11,,,,,9,1,1,1,1,1,2,6,4,4,4,4,4,4,4,4,6,4,6,6,4,,,,,,,4,6,4,6,4,4,,,,5,2,,,,,,,,,2,,,,,5,4,4,,,,,2,,,,,2,4,60,3,29.5,1,1,25000,1,1,4,NEW YORK-JFK,2,1.592296,
2355,2417,3,1,1,8,2,66,7,2,2,8,,,,,4,11,,,,,9,1,0,1,1,1,2,6,4,6,4,6,5,6,6,5,6,5,6,4,4,90,,,,,,5,6,5,5,5,4,,,,4,2,,,,,,,,,1,4,4,8,,5,4,3,,,,,2,,,,,2,4,35,3,29.5,1,1,25000,1,1,4,NEW YORK-JFK,2,1.592296,
2356,2418,3,1,1,8,2,66,7,2,2,8,,,,,2,11,,,,,9,2,1,1,4,9.5,2,4,4,4,2,4,4,3,3,3,3,4,6,6,4,50,,,,,,4,6,4,6,3,3,,,,4,7,,,,,,,,,2,,,,,6,3,3,,,,,2,,,,,1,12,62,3,29.5,1,3,125000,1,1,4,NEW YORK-JFK,2,1.592296,
2357,2419,3,1,1,8,2,66,7,2,2,8,,,,,6,11,,,,,9,1,2,2,2,2,2,6,6,6,4,6,4,6,6,6,6,6,6,6,4,,,,,,,4,6,6,6,6,6,,,,5,,,,,,,,,,2,,,,,12,0,0,,,,,0,,,,,0,5,0,0,,0,0,,1,1,4,NEW YORK-JFK,2,1.592296,
2358,2420,3,1,1,8,2,66,7,2,2,8,,,,,5,11,,,,,9,2,1,1,6,36,2,2,2,2,5,5,5,6,6,4,4,6,6,4,4,39,29,,,,,5,5,6,5,5,5,,,,5,6,,,,,,,,,2,,,,,1,5,5,,,,,2,,,,,1,10,62,3,29.5,2,2,75000,1,1,4,NEW YORK-JFK,2,1.592296,
2359,2421,3,1,1,8,2,66,7,2,2,8,,,,,4,11,,,,,9,1,1,2,1,1,2,6,4,6,4,6,5,6,6,5,6,5,6,4,4,,,,,,,5,6,5,5,5,6,,,,4,2,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,35,2,21,2,1,25000,1,1,4,NEW YORK-JFK,2,1.592296,
2360,2422,3,1,1,8,2,66,7,2,2,8,,,,,2,11,,,,,9,2,2,1,3,4.5,2,4,3,4,4,4,4,4,4,5,5,5,6,6,4,,,,,,,5,4,4,6,4,4,,,,5,6,,,,,,,,,2,,,,,6,5,5,,,,,2,,,,,1,12,62,3,29.5,2,2,75000,1,1,4,NEW YORK-JFK,2,1.592296,
2361,2460,1,2,1,6,2,20,8,2,1,8,,,,,6,11,,,,,9,1,1,1,1,1,1,6,5,5,5,6,5,6,5,5,6,6,6,6,5,40,92,,,,,3,6,6,6,5,6,,,,5,,,,,,,,,,2,,,,,5,5,3,,11,,,2,,,,,2,4,62,7,75,2,1,25000,1,1,2,PORTLAND,1,1.013018,
2362,2461,1,2,1,6,2,20,8,2,2,8,,,,,4,11,,,,,9,2,1,2,3,4.5,1,4,3,3,4,4,4,4,4,5,3,6,2,4,4,,,,56,27,,5,3,6,3,4,4,,,,4,2,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,1,1,62,4,39.5,2,2,75000,1,1,2,PORTLAND,1,1.013018,
2363,2462,1,2,1,6,2,20,8,2,2,8,,,,,4,11,,,,,9,2,1,2,3,4.5,1,3,2,2,4,4,3,6,6,1,6,6,6,6,3,31,,,51,50,,3,6,6,6,2,4,,,,4,,,,,,,,,,2,,,,,6,4,4,,,,,1,,16,,,1,12,62,6,59.5,2,1,25000,1,1,2,PORTLAND,1,1.013018,
2364,2463,1,2,1,6,2,20,8,2,3,8,,,,,2,11,,,,,9,1,1,2,3,4.5,1,6,3,3,4,6,4,2,3,2,6,6,6,2,4,90,,,32,50,51,3,6,6,4,4,3,,,,5,,,,,,,,,,2,,,,,5,4,4,,,,,2,,,,,2,4,62,6,59.5,2,2,75000,1,1,2,PORTLAND,1,1.013018,
2365,2464,1,2,1,6,2,20,8,2,2,8,,,,,7,11,,,,,9,1,2,1,1,1,1,6,5,6,5,6,5,6,5,6,6,6,6,6,5,40,31,,,,,5,6,6,6,4,6,,,,5,,,,,,,,,,2,,,,,5,5,5,,14,,,2,,,,,2,4,27,7,75,2,1,25000,1,1,2,PORTLAND,1,1.013018,
2366,2465,1,2,1,6,2,20,8,2,1,8,,,,,9,11,,,,,9,2,2,1,3,4.5,1,3,3,4,4,3,5,6,5,4,5,4,6,3,4,6,51,34,,,,4,4,5,5,4,3,,,,4,5,,,,,,,,,1,4,5,,,6,3,4,,,,,1,,9,,,2,4,62,6,59.5,1,2,75000,1,1,2,PORTLAND,1,1.013018,
2367,2466,1,2,1,6,2,20,8,2,3,8,,,,,5,11,,,,,9,2,1,2,4,9.5,2,3,2,2,3,3,3,3,3,4,6,4,6,6,3,,,,,,,3,6,2,6,2,2,,,,3,,,,,,,,,,1,3,,,,5,5,4,,,,,2,,,,,1,5,0,3,29.5,2,2,75000,1,1,2,PORTLAND,1,1.013018,
2368,2467,1,2,1,6,2,20,8,2,2,8,,,,,9,11,,,,,9,1,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,4,4,4,4,4,4,,,,5,,,,,,,,,,2,,,,,7,5,5,,,,,2,,,,,2,4,62,4,39.5,1,2,75000,1,1,2,PORTLAND,1,1.013018,
2369,2468,1,2,1,6,2,20,8,2,1,8,,,,,7,11,,,,,9,2,2,1,3,4.5,2,3,3,3,3,3,4,3,3,4,6,5,6,4,4,,,,,,,4,6,3,3,3,2,,,,5,,,,,,,,,,1,3,,,,5,4,4,,,,,2,,,,,2,4,62,4,39.5,2,3,125000,1,1,2,PORTLAND,1,1.013018,
2370,2469,1,2,1,6,2,20,8,2,3,8,,,,,2,11,,,,,9,2,2,2,3,4.5,2,5,4,4,3,3,3,6,6,3,3,4,6,6,4,38,,,,,,3,3,3,6,3,4,,,,3,,,,,,,,,,2,,,,,6,4,4,,,,,2,,,,,2,4,62,4,39.5,2,3,125000,1,1,2,PORTLAND,1,1.013018,
